향수_이름,향수_notes,향수_설명
프레드릭 말 윈 로즈,"Rose, Honey, Wine Lees, Coriander, Raspberry, Juniper, Pink Pepper, Turkish Rose, Geranium, Truffle, Violet, Saffron, Orris, Musk, Patchouli, Vetiver, Castoreum, Moss, Cedar, Sandalwood, Vanilla",풍성하고 고혹적인 생화 향이 납니다. 뿌리째 뽑혀진 완전한 장미를 한가득 모아둔 듯한 씁쓸한 풀과 흙이 섞인 장미향입니다. 확실히 고급스러운 향이긴 하지만 이게 쿰쿰한 와인에 절여진 장미향으로 느껴질 때가 있어서 가끔 생화보다는 비싼 향수 향 같기도 해요.
산타마리아노벨라 로사가데니아,"Almond Blossom, Orange Blossom, Bergamot, Gardenia, Rose de Mai, Fig Leaf, Jasmine, Musk, Vanilla, Sandalwood",핑크빛 장미 꽃잎의 꽃잎만을 따서 만든 뽀얀 질감의 달달한 장미 우유 같은 향인데요. 종종 이 향을 바나나 킥 냄새를 느끼시는 분들도 있더라고요.
러쉬 로즈 잼,"Rose, Lemon, Tonka Bean, Geranium",흑설탕이 보글보글 끓고 있는 냄비에 장미들을 넣고 타기 직전까지 졸이면 날 것 같은 향입니다. 그리고 저는 거기에 약간 찐 고구마처럼 고소한 냄새도 살짝 나더라구요. 전체적으로 러쉬스러움이 묻어있는 달달한 장미향이라고 느꼈습니다.
메종 프란시스 커정 아라 로즈,"Calabrian bergamot, California Orange, Bulgarian Rose, Grasse Rose, Violet, Magnolia, Musk, Cedar",깨끗하게 씻고 촉촉하게 스킨케어까지 마친 사람이 장미를 만지작만지작 하고 있을 때 날 것 같은 냄새를 느껴집니다. 되게 투명하고 맑은 느낌의 향인데 어딘가 모르게 따스함과 포근함이 더 있어요. 독특하진 않지만 대체불가한 장미향이라고 생각합니다.
구딸 파리 로즈 폼퐁,"Rasberry, Grapefruit, Damask Rose, Violet, Vanilla",스파클링 로제 샴페인 같은 향으로 시작했다가 달달한 라즈베리 주스가 섞인듯한 장미 향으로 이어지고 차분한 머스크 향으로 마무리 됩니다. 영한 바이브와 우아함이 공존하는 장미향이 들며 추천합니다.
아쿠아 디 파르마 로사 노빌레,"Mandarin Orange, Pepper, Bergamot, Rose, Peony, Violet, Lily-of-the-Valley, Musk, Cedar, Ambergris",물에 담가놓은 장미 몇 송이의 장미 꽃잎 만 떼다가 향수로 만든 느낌이에요. 장미의 줄기 라던가 입 같은 건 잘 안들어가고 꽃잎만 들어간 인공적이지 않은 장미 향수 같아요.
펜할리곤스 루나,"Lemon, Bergamot, Bitter Orange, Rose, Juniper Berries, Jasmine, Balsam Fir, Musk, Ambergris","상큼한 레몬과 오렌지향으로 시작해서 시원한 생장미향과 은은한 자스민 꽃향기, 씁쓸하면서도 신선한 풀향기로 이어지는 향수입니다. 신비롭고 샤랄라하면서도 은근히 중성적인 뉘앙스도 있어요."
딥티크 롬브르단로,"Cassis, Rose, Black currant leaf, Black Currant, Bergamot, Ambergris, Musk, Mandarin Orange",가시 돋친 야생 장미와 거친 풀잎을 통째로 으깬 뒤에 진득하고 달달한 블랙커런트를 뿌린듯한 향입니다. 장미향기가 지배적이라기보다는 토마토 꼭지 냄새같은 풀향이 더 많이 나는 편이고 축축한 느낌도 있어서 비오는 날 뿌리는 향수로도 유명합니다.
바이레도 로즈오브노맨즈랜드,"Turkey Red Rose, Pink Pepper, Rasberry Bloom, Papyrus, Amber",메디컬한 냄새가 섞인 장미향이 납니다. 병원이나 치과에 가면 나는 소독제 냄새가 살짝 섞인 서늘한 장미향이나 난해하진 않다고 느꼈어요. 과하지 않은 베리의 달콤함과 시크함이 있는 장미향을 연상하게 합니다.
TWW 오마주,"Damask Rose, Elemi, Geranium, Cedarwood, Jasmin, Iris, Leather Accord, Musk, Agarwood",고혹적인 장미들과 나무들이 어우러진 숲에 들어간듯한 향에다가 클래식한 레더 향이 어우러진 향이에요.
킬리안 문라이트 인 헤븐,"Grapefruit, Lemon, Pink Pepper, Peach, Green Notes, Clove, Mango, Coconut, Rice, Tuberose, Orris, Lactones, Vetiver, Tonka Bean, Musk, Vanilla, Heliotrope","달콤한 망고향이랑 부드러운 코코넛 향이 어우러진 중성적인 과일향이거든요. 친구들이 이거를 딱 맡더니, '어 과일향인데 되게 고급지다 나 달달한 향 안 좋아하는데 이거 엄청 좋다' 이런 얘기를 하더라고요. 막연히 뭔가 드럭스토어에 파는 되게 흔하고 뻔한 핑크빛 향수 냄새가 나지 않아서 되게 재밌는 향수예요. 그리고 망고향 향수라는 거 자체가 흔치 않기도 하고 또 이 망고향을 정말 부내나게 잘 표현한 향수이기 때문에 주변 사람들에게 좋은 호드백을 받지 않았나 싶습니다."
르라보 상탈 33,"Sandalwood, Leather, Papyrus, Virginia Cedar, Cardamom, Violet, Iris, Amber",포근한 샌달우드 향해 촉촉한 비냄새에 가죽 냄새가 곁들여진 향수예요.
르라보 베르가못 22,"Bergamot, Vetiver, Grapefruit, Orange Blossom, Petitgrain, Musk, Cedar, Vanilla, Amber","자몽이나 오렌지, 레몬 같은 상큼한 과일이 열려 있는 나무가 가득한 곳에 간듯한 기분이 드는 시트러스 프레시 계열의 향입니다."
르라보 어나더 13,"Pear, Citruses, Apple, Ambrette (Musk Mallow), Amyl Salicylate, Moss, Jasmine, Iso E Super, Cetalox, Ambrettolide, Helvetolide",유니크하면서도 뇌쇄적이면서도 세심한 이미지의 향이죠.
르라보 로즈 31,"Rose, Cumin, Vetiver, Cedar, Musk, Guaiac Wood, Agarwood (Oud), Olibanum, Labdanum",로즈는 남성성/여성성의 경계를 뛰어넘는 스파이시한 우디향이 섞인 장미향이예요. 이거 되게 신비롭고 매력있어서 맡아보시길 추천드릴게요.
르라보 떼 누아 29,"Fig, Bay Leaf, Bergamot, Cedar, Vetiver, Musk, Tobacco, Hay","시트러스를 비롯해서 무화과, 월계수잎 등의 밝은 느낌이 있으면서 시더우드, 베티버, 머스크 등의 다크한 이미지도 공존하고 있는 향입니다. 그러면서 산뜻한 블랙티향이 나면서도 쌉사래하고 중독적인 담뱃잎 향도 같이 나서 이 향도 진짜 인기 많은 향수죠."
퍼퓸드말리 매스큘린 헤롯,"Cinnamon, Pepperwood, Tobacco Leaf, Incense, Osmanthus, Labdanum, Vanilla, Iso E Super, Cedarm, Musk, Cypriol Oil or Nagarmotha, Vetiver",위스키 냄새랑 시가 냄새랑 달달한 메이플 시럽 향기가 만나서 달콤 씁쓸한 향기를 자아내요.
퍼퓸드말리 매스큘린 레이튼,"Apple, Lavender, Bergamot, Mandarin Orange, Geranium, Violet, Jasmine, Vanilla, Cardamom, Sandalwood, Pepper, Guaiac Wood, Patchouli",톡 쏘면서도 상쾌한 향인데 성공한 남자를 떠올리게 하는 향입니다.
퍼퓸드말리 매스큘린 페가수스,"Heliotrope, Cumin, Bergamot, Bitter Almond, Lavender, Jasmine, Vanilla, Sandalwood, Amber","물기있는 플로럴 향에 바닐라, 엠버, 아몬드의 부드러우면서도 알싸한 향이 섞인듯한 느낌이 나요."
퍼퓸드말리 매스큘린 퍼시벌,"Lavender, Mandarin Orange, Bergamot, Geranium, Hedione, Violet, Jasmine, Coriander, Cinnamon, Ambroxan, Amberwood, Musk, Balsam Fir, Clearwood","프레시한 스킨향에 아로마틱 시트러스, 라벤더 향이 섞인 향입니다."
아쿠아 디 파르마 미르토 디 파나레아,"Italian Lemon, Myrtle, Bergamot, Basil, Jasmine, Damask Rose, Amber, Cedarwood, Juniper",친환경 허브로 만든 비누로 깨끗하게 샤워하고 나온 듯한 향입니다.
아쿠아 디 파르마 피코 디 아말피,"Grapefruit, Bergamot, Citron, Lemon, Fig Nectar, Jasmine, Pink Pepper, Fig Tree, Cedar, Benzoin",지중해의 푸른 바다 옆에서 자라난 무화과 나무의 향기입니다.
아쿠아 디 파르마 아란치아 디 카프리,"Orange, Sicilian Mandarin, Bergamot, Lemon, Petitgrain, Cardamom, Caramel, Musk",잘 익은 귤을 까고 있는 듯한 느낌이 드는 향기입니다.
퍼퓸드말리 페미닌 델리나,"Litchi, Rhubarb, Bergamot, Nutmeg, Turkish Rose, Peony, Musk, Petalia, Vanilla, Cashmeran, Incense, Cedar, Haitian Vetiver",완전 공주님 향 같아요. 풍성한 핑크빛 꽃다발에다가 달달한 리치 과즙을 뿌린듯한 향기입니다.
메모 파리 프렌치 레더,"Rose Water, Suede, Lime, White Musk, Juniper, Pink Pepper, Vetiver, Cedar, Clary Sage, Resin",부드러운 스웨이드로 감싼 장미꽃 향기입니다.
메모 파리 마르파,"Orange Blossom, Mandarin Orange, Tuberose, Ylang-Ylang, Agave, Vanilla, Sandalwood, Whte Musk, Cedar",튜베로즈의 볼륨있는 화이트 플로럴 향과 바닐라 향이 만나서 몽환적인 이미지를 만들어주는 향입니다.
메모 파리 아이리시 레더,"Leather, Juniper Berries, Mate, Amber, Tonka Bean","마치 푸른 초원을 달리는 야생마가 떠오르는 향이예요. 생기있는 그리너리함과 마테차향, 그리고 이국적인 레더향이 어우러진 향수입니다."
메모 파리 아프리칸 레더,"Cardamom, Leather, Cumin, Saffron, Patchouli, Vetiver, Geranium, Agarwood (Oud), Bergamot, Musk",아프리카의 화려하고 존재감이 뚜렷한 향신료와 그윽한 우디향이 만난 레더 향기입니다.
엑스니힐로 상탈 콜링,"Nutmag, Milk, Iris, Sandalwood, Musk, Vanilla",나무 둥치에 앉아서 우유를 섞은 식물 차를 마시는 듯한 기분이 드는 너무 편안한 우디향입니다.
엑스니힐로 시티즌X,"Mastic or Lentisque, White Pepper, Iris, Olibanum, Musk, Amberwood",고급스러운 호텔 옥상에서 드레스업하고 있을 때 뿌리고 싶은 씁쓸하면서도 포근한 파우더리한 향입니다.
엑스니힐로 더 헤도니스트,"Bergamot, Ginger, Akigalawood, Cedar, Vetiver, Tonka Bean, Musk",개척되지 않은 땅을 모험하는 기분이 드는 풀과 우디 그리고 머스크향이 한데 어우러집니다.
엑스니힐로 골드 이모탈스,"Pear, Bergamot, Peony, Lysylang, Tonka Bean, Musk, Amber",달콤한 엠버향이 섞인 플로럴향이라서 뿌리는 것만으로도 당 충전되는 기분이 물씬 듭니다.
엑스니힐로 아웃캐스트 블루,"Saffron, Black Pepper, Pink Pepper, Cedar, Lily-of-the-Valley, Tobacco, Vetiver, Oakmoss, Sandalwood, Patchouli",대담한 이미지를 연출하기 좋은 토바코와 스파이시한 향기가 어우러진 노트입니다.
엑스니힐로 플뢰르 나르코티끄,"Litchi, Bergamot, Peach, Peony, Orange Blossom, Jasmine, Petalia, Base Notes, Musk, Moss,, Woody Notes",수줍으면서도 관능적인 꽃향기를 원한다면 아주 제격인 향수입니다.
엑스니힐로 아이리스 포르셀라나,"Violet Leaf, Iris, Rose, Musk, Sandalwood, Cedar",몽글몽글한 머스크 향과 우아한 아이리스 꽃향기가 어우러진 향기입니다.
엑스니힐로 러스트 인 파라다이스,"Pink Pepper, Solar Notes, Peony, Litchi, Ambergris, Musk, Tonka Bean, White Cedar Extract, Amber",입문자들도 즐길 수 있는 대중적이고 예쁜 프루티 플로럴 향입니다.
엑스니힐로 콜론 352,"Juniper Berries, Italian Lemon, Lily-of-the-Valley, Orange Blossom, Rose, White Musk, White Cedar Extract, Guaiac Wood",깔끔하고 개운한 스킨향을 부담스럽지 않게 표현한 산뜻한 향입니다.
엑스니힐로 엑스플리시트,"Nutmeg, Pink Pepper, Praline, Peony, Lily, Petalia, Sandalwood, Amber, Vanilla",꽃다발을 달달한 초콜릿에 푹 찍은 것 같은 향에 은은한 샌달우드가 섞여 기분 좋은 향입니다.
빌리 아일리시 향수 아이리시 넘버 2,"Bergamot, Apple Blossom, Black Pepper, Papyrus, Poppy, Palo Santo, Ebony, Vanilla","이 향수는 다크하고 묵직한 우디향으로 다가왔어요. 향이 느껴지기에, 동남아에 놀러갔을 때 우기에 가서 어둑한 분위기 속에서 마사지를 받으려고 차분하고 럭셔리한 스파에 가서 향긋한 나무냄새와 아로마 냄새 맡으며 대기하고 있는데 옆에서 직원이 팔로산토를 태우고 있어서 한층 더 마음이 릴렉싱 되는 상황이 연출되는 느낌이었습니다. 묵직한 우디의 중성적인 향이 느껴지며, 블랙 페퍼와 매혹적인 양귀비꽃, 사과꽃 향기가 나는데요. 인센스와 파피루스 향이 이국적인 무드로 피어납니다. 발리가 떠오르는데 해변 말고 요가하고 명상하는 숲 지역, 스파 샵의 느낌에 더 어우러진다고 생각해요. 스모키한 우디 향이 중후하게 퍼지고 에보니 스킨 머스크 향까지 더해져서 전체적으로 대담하고 깊은 향을 완성시켜 줍니다. 향이 되게 트렌디 해요."
알보우 몬순,"Water Fruit, Blackcurrant, Freesia, Rose, Jasmine, Lily-of-the-Valley, Musk, Amber, Sandalwood","이 향수는 새벽의 이슬이 맺힌 산책로의 향을 표현한 향수입니다. 이슬이 많이 맺혀 있는 꽃밭을 걷고 있는 듯한 느낌을 연상케 하는 향이에요. 올망졸망 피어 있는 여러 가지 꽃들의 향기와 촉촉한 물기가 있고, 달콤한 과일향이 납니다. 어스름하고 안개낀 아침의 느낌보다는 밝고 맑고 달콤하고 선명한 꽃 향기가 납니다. 처음 뿌렸을 때는 물기 많은 과일의 스윗함이 확 퍼지며, 은방울꽃, 자스민, 프리지아 같은 깨끗한 하얀색 꽃 향기들이 풍부하게 납니다. 작은 식물들과 풀들의 향도 언뜻나는 것 같아요."
클린 리저브 레인,"Bergamot, White Flower, Patchouli","비가 그친 숲속에 차분하고 잔잔한 향을 묘사하고 있어요. 상큼한 시트러스 향으로 시작해서 워터리한 풀향과 꽃향으로 이어지는데, 숲속에서 비를 맞고 나서 오이비누나 물비누로 샤워를 하고 있을 때 날 것 같은 향입니다. 깨끗하고 아쿠아틱한 향에다 약간의 숲과 비의 바이브를 첨가한 느낌이에요. 깔끔하고 캐주얼하고 중성적이어서 헐렁한 티셔츠에 모자 쓰고 별로 안 꾸몄을 때도 잘 어울리는 향입니다."
센녹 애프터 베스,"Bergamot, Lavender, Mint, Geranium, Iris, Rose, Cedarwood, Sandalwood, Patchouli","이 향은 첫 향에서는 약간 쨍한 시트러스-허브향이 있지만, 방금 씻고 나온 히노키 탕에서 나는 비누 수증기 향이에요. 마치 안개처럼 아련하게 슬쩍슬쩍 느껴지는 순수한 향입니다."
27 87 제네틱 블리스,"Woody Notes, Sandalwood, Akigalawood, Musk, Belambra tree","살 냄새가 나면서 중성적인 우디향이 이렇게 싹 깔려져 있거든요. 머스키함, 앰버리함, 약간의 파우더리함, 약간의 부드러운 텍스처가 공존하는게 느껴져요. 약간 투명한 느낌이 있어요. 되게 미니멀한데 되게 폭발적이에요. 이 대조적인 느낌이 같이 공존을 하고 있다는게 이 향수의 개성이라고 말할 수 있는 부분이라고 생각이 듭니다."
올팩티브 스튜디오 오토 포트레이트,"elemi, Bergamot, Benzoin, Incense, Musk, Virginia Cedar, Vetiver, oak moss","고요하고 정막한 가운데 내가 홀로 있는듯한 느낌을 딱 받을 수 있는 그런 비주얼이 있는데, 내 내면에 좀 집중해 보는듯한 그런 분위기를 연출하고 있다고 생각이 들었어요. 이 향을 딱 맡았을 때 그때 경험이 딱 떠오르면서 내가 조금 정화되는듯한 느낌이 들더라고요. 동이 트는 무렵, 이제 막 해가 지려고 하는 무렵에 산이나 숲에서 요가를 하는데 그때 피는 인센스 향이나 자연 속의 나무 향도 나는 것 같아요. 약간 어둑어둑하지만 칙칙하지는 않은 바이브가 연출되는데 심장이 편안하게 가라앉는 느낌입니다. 향기가 참 고요해요."
올팩티브 스튜디오 플래시백,"Rhubarb, Grapefruit, Orange, Granny Smith apple, Pink Pepper, Vetiver, Cedar, Musk, Amber","신선한 루바브로 만든 에이드 느낌이에요. 그 에이드에 막 상큼한 시트러스 과일도 넣고 뭔가 초록초록한 식물이나 허브 같은 것도 총총 넣어 가지고 자연식으로 만든 에이드가 있다면 요런 향일 것 같은데, 약간 깨끗한 바이브가 있어요. 이 향이 내 몸에 났으면 좋겠다고 생각되는 향이예요. 맨 처음 맡았을 때는 되게 프루티하고 느꼈었어요. 향이 되게 조용하고 편안한 느낌이예요. 내 시그니처 향으로 삼기에도 적절한 웨어러블한 데일리 향수가 되기에 적합해 보여요!"
